Red	Green	Blue	Timestamp
0	67	255	1744764864.2620819
0	58	255	1744764864.3076522
0	54	251	1744764864.353708
3	52	243	1744764864.4023929
0	52	253	1744764864.4521356
0	50	252	1744764864.4917042
1	47	249	1744764864.5414886
1	45	247	1744764864.590032
0	92	255	1744764864.6448016
0	105	255	1744764864.6904368
2	108	245	1744764864.7328515
4	107	239	1744764864.776854
6	103	228	1744764864.828332
8	100	219	1744764864.8767588
7	99	224	1744764864.9255257
9	95	216	1744764864.9719744
9	92	213	1744764865.0087433
10	88	212	1744764865.0608144
11	84	204	1744764865.1002753
11	81	202	1744764865.1542065
13	77	194	1744764865.2033222
13	75	191	1744764865.2485983
14	71	186	1744764865.2974727
14	70	185	1744764865.3343108
15	67	180	1744764865.3827803
0	70	255	1744764865.434292
0	66	255	1744764865.483616
0	63	251	1744764865.5325727
5	60	235	1744764865.5837958
6	57	228	1744764865.6330962
7	54	226	1744764865.682531
7	52	223	1744764865.7340264
7	51	226	1744764865.7835555
7	48	227	1744764865.832813
6	45	230	1744764865.882469
9	43	216	1744764865.931239
11	40	204	1744764865.9804623
12	37	197	1744764866.030416
12	35	197	1744764866.0822282
13	34	192	1744764866.131047
14	33	187	1744764866.1810923
14	31	186	1744764866.2308106
15	29	177	1744764866.27978
16	26	170	1744764866.3191285
15	25	175	1744764866.376352
16	23	165	1744764866.416977
17	22	158	1744764866.4691205
17	20	156	1744764866.5095587
16	10	207	1744764866.562598
20	9	213	1744764866.6113045
23	11	207	1744764866.663961
24	10	208	1744764866.713897
26	8	219	1744764866.7629607
28	9	214	1744764866.8127782
29	10	210	1744764866.8559775
30	10	211	1744764866.90492
36	11	207	1744764866.956766
40	5	234	1744764867.002875
42	7	223	1744764867.0404024
44	10	207	1744764867.0959816
45	12	200	1744764867.1448903
46	13	195	1744764867.1953044
47	13	191	1744764867.2361512
49	14	184	1744764867.2917285
59	9	214	1744764867.3406804
62	0	255	1744764867.395819
63	1	250	1744764867.436232
64	3	243	1744764867.480781
65	5	232	1744764867.5206134
65	10	209	1744764867.5756953
64	14	188	1744764867.6298926
64	15	179	1744764867.6849084
62	16	166	1744764867.7344651
64	16	166	1744764867.7834368
62	17	156	1744764867.8218262
62	17	152	1744764867.8766897
62	17	148	1744764867.9198985
59	18	135	1744764867.9584086
60	18	131	1744764868.0066774
61	18	130	1744764868.0456743
60	18	126	1744764868.0997858
60	18	123	1744764868.1496665
59	18	118	1744764868.204044
59	18	114	1744764868.2544286
60	18	113	1744764868.306356
59	17	109	1744764868.3555746
59	17	107	1744764868.4059615
59	17	105	1744764868.45452
59	17	104	1744764868.506062
73	18	120	1744764868.5553687
67	17	108	1744764868.6056933
66	17	103	1744764868.6573515
64	17	99	1744764868.7076895
65	17	98	1744764868.7594779
65	17	97	1744764868.8088634
65	17	97	1744764868.8591619
66	17	96	1744764868.9088116
66	17	95	1744764868.9590542
67	17	95	1744764869.0094397
67	16	94	1744764869.059316
68	16	94	1744764869.1122162
68	16	93	1744764869.162087
68	16	93	1744764869.2113843
69	16	92	1744764869.2608714
70	16	91	1744764869.3148122
70	16	91	1744764869.364321
71	16	90	1744764869.4162557
71	16	90	1744764869.4658606
72	16	89	1744764869.5174172
72	16	88	1744764869.5694718
72	16	88	1744764869.6218667
73	16	87	1744764869.6721094
74	16	86	1744764869.7208078
74	16	86	1744764869.7705789
75	16	85	1744764869.8203852
75	16	85	1744764869.8723662
75	16	84	1744764869.920545
76	16	84	1744764869.9752057
77	16	83	1744764870.028092
77	15	82	1744764870.078528
78	15	82	1744764870.127041
78	15	82	1744764870.176743
79	15	82	1744764870.2263284
79	15	81	1744764870.2787297
80	15	81	1744764870.3165414
80	15	80	1744764870.374207
80	15	79	1744764870.4205635
80	15	77	1744764870.463285
80	15	76	1744764870.5030842
79	15	76	1744764870.557567
79	15	75	1744764870.6043694
79	15	73	1744764870.653721
79	15	72	1744764870.705435
79	15	71	1744764870.754716
78	15	70	1744764870.8081295
78	15	69	1744764870.8579342
78	15	68	1744764870.906534
78	15	67	1744764870.9562678
78	15	66	1744764871.0010934
78	15	65	1744764871.051489
77	15	62	1744764871.1014144
77	15	59	1744764871.1517758
77	15	57	1744764871.201126
76	15	55	1744764871.2527137
76	15	53	1744764871.3024025
76	15	51	1744764871.3530562
76	15	50	1744764871.4031937
76	15	48	1744764871.4446118
